 Fri, 09 Aug 2019 21:05:29  INFO logger.py <module> [ line:24 ] hehehe
 Fri, 09 Aug 2019 21:05:36  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入用户名  元素  ('xpath', '//input[@name="phone"]') 可见成功。耗时：0:00:00.058969
 Fri, 09 Aug 2019 21:05:36  INFO basepage.py find_element [ line:65 ] 查找  登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 成功！
 Fri, 09 Aug 2019 21:05:36  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入用户名 元素 ('xpath', '//input[@name="phone"]') 上输入文本值：18684720553 成功！
 Fri, 09 Aug 2019 21:05:36  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_输入密码  元素  ('xpath', '//input[@name="password"]') 可见成功。耗时：0:00:00.078469
 Fri, 09 Aug 2019 21:05:36  INFO basepage.py find_element [ line:65 ] 查找  登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 成功！
 Fri, 09 Aug 2019 21:05:37  INFO basepage.py input_text [ line:94 ] 在 登陆页面_输入密码 元素 ('xpath', '//input[@name="password"]') 上输入文本值：python 成功！
 Fri, 09 Aug 2019 21:05:37  INFO basepage.py wait_ele_visible [ line:37 ] 等待 登陆页面_点击登陆按钮  元素  ('tag name', 'button') 可见成功。耗时：0:00:00.061964
 Fri, 09 Aug 2019 21:05:37  INFO basepage.py find_element [ line:65 ] 查找  登陆页面_点击登陆按钮 元素 ('tag name', 'button') 成功！
 Fri, 09 Aug 2019 21:05:37  INFO basepage.py click_element [ line:77 ] 点击  登陆页面_点击登陆按钮 元素 ('tag name', 'button') 成功！
 Fri, 09 Aug 2019 21:05:59  INFO basepage.py wait_ele_visible [ line:37 ] 等待 首页_找用户昵称元素  元素  ('xpath', '//a[@href="/Member/index.html"]') 可见成功。耗时：0:00:21.865401
